CFW_GROUP_ID,ORG_ID,BLANK,IN_SMALL_1AD,IN_TINY_1AD,SUPERIOR_ORG_ID
1AD-TRANS-STUB-CFW-GRP,2-BDE-1-AD, ,1,1,1-AD
1AD-TRANS-STUB-CFW-GRP,30-MEDBDE, ,,,5-CORPS-REAR
1AD-TRANS-STUB-CFW-GRP,3-13-FABN-155, ,,,41-FABDE
1AD-TRANS-STUB-CFW-GRP,316-POL-SUPPLYBN, ,1,,7-CSG
1AD-TRANS-STUB-CFW-GRP,317-MAINTCO, ,,,71-MAINTBN
1AD-TRANS-STUB-CFW-GRP,343-SUPPLYCO, ,1,1,51-MAINTBN
1AD-TRANS-STUB-CFW-GRP,372-CGO-TRANSCO, ,,,106-TCBN
1AD-TRANS-STUB-CFW-GRP,377-HVY-TRKCO, ,,,181-TCBN
1AD-TRANS-STUB-CFW-GRP,37-TRANSGP, ,1,1,21-TSC-HQ
1AD-TRANS-STUB-CFW-GRP,3-BDE-1-AD, ,,,1-AD
1AD-TRANS-STUB-CFW-GRP,3-SUPCOM-HQ, ,1,1,5-CORPS
1AD-TRANS-STUB-CFW-GRP,40-ENGBN, ,,,2-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,416-POL-TRKCO, ,,,6-TCBN
1AD-TRANS-STUB-CFW-GRP,41-FABDE, ,1,,5-CORPS-ARTY
1AD-TRANS-STUB-CFW-GRP,4-1-FABN, ,,,3-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,41-POL-TRKCO, ,,,181-TCBN
1AD-TRANS-STUB-CFW-GRP,4-27-FABN, ,,,2-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,452-ORDCO, ,,,125-ORDBN
1AD-TRANS-STUB-CFW-GRP,47-FSB, ,1,1,2-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,485-CSB, ,1,1,16-CSG
1AD-TRANS-STUB-CFW-GRP,501-FSB, ,,,1-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,501-MIBN-CEWI, ,,,1-AD-DIV
1AD-TRANS-STUB-CFW-GRP,501-MPCO, ,,,1-AD-DIV
1AD-TRANS-STUB-CFW-GRP,512-MAINTCO, ,,,51-MAINTBN
1AD-TRANS-STUB-CFW-GRP,515-POL-TRKCO, ,,,316-POL-SUPPLYBN
1AD-TRANS-STUB-CFW-GRP,51-MAINTBN, ,1,1,29-SPTGP
1AD-TRANS-STUB-CFW-GRP,51-MDM-TRKCO, ,,,181-TCBN
1AD-TRANS-STUB-CFW-GRP,529-ORDCO, ,,,125-ORDBN
1AD-TRANS-STUB-CFW-GRP,52-ENGBN-CBTHVY, ,1,,130-ENGBDE
1AD-TRANS-STUB-CFW-GRP,541-POL-TRKCO, ,,,561-SSBN
1AD-TRANS-STUB-CFW-GRP,561-SSBN, ,,,7-CSG
1AD-TRANS-STUB-CFW-GRP,565-RPRPTCO, ,1,1,71-MAINTBN
1AD-TRANS-STUB-CFW-GRP,574-SSCO, ,1,,51-MAINTBN
1AD-TRANS-STUB-CFW-GRP,584-MAINTCO, ,,,561-SSBN
1AD-TRANS-STUB-CFW-GRP,588-MAINTCO, ,,,485-CSB
1AD-TRANS-STUB-CFW-GRP,592-ORDCO, ,1,1,485-CSB
1AD-TRANS-STUB-CFW-GRP,594-MDM-TRKCO, ,,,106-TCBN
1AD-TRANS-STUB-CFW-GRP,596-MAINTCO, ,,,485-CSB
1AD-TRANS-STUB-CFW-GRP,597-MAINTCO, ,1,,71-MAINTBN
1AD-TRANS-STUB-CFW-GRP,5-CORPS, ,1,1,USAEUR
1AD-TRANS-STUB-CFW-GRP,5-CORPS-ARTY, ,1,,5-CORPS
1AD-TRANS-STUB-CFW-GRP,5-CORPS-REAR, ,1,,5-CORPS
1AD-TRANS-STUB-CFW-GRP,5-MAINTCO, ,,,51-MAINTBN
1AD-TRANS-STUB-CFW-GRP,632-MAINTCO, ,,,6-TCBN
1AD-TRANS-STUB-CFW-GRP,66-MDM-TRKCO, ,,,28-TCBN
1AD-TRANS-STUB-CFW-GRP,68-MDM-TRKCO, ,,,28-TCBN
1AD-TRANS-STUB-CFW-GRP,69-ADABDE, ,,,5-CORPS-REAR
1AD-TRANS-STUB-CFW-GRP,69-CHEMCO, ,,,1-AD-DIV
1AD-TRANS-STUB-CFW-GRP,6-TCBN, ,1,1,37-TRANSGP
1AD-TRANS-STUB-CFW-GRP,702-EODDET, ,,,191-ORDBN
1AD-TRANS-STUB-CFW-GRP,70-ENGBN, ,,,3-BDE-1-AD
1AD-TRANS-STUB-CFW-GRP,71-MAINTBN, ,1,1,7-CSG
1AD-TRANS-STUB-CFW-GRP,71-ORDCO, ,,,71-MAINTBN
1AD-TRANS-STUB-CFW-GRP,720-EODDET, ,,,191-ORDBN
1AD-TRANS-STUB-CFW-GRP,77-MAINTCO, ,,,18-MAINTBN
1AD-TRANS-STUB-CFW-GRP,7-CSG, ,1,1,3-SUPCOM-HQ
1AD-TRANS-STUB-CFW-GRP,7-TCGP-TPTDD, ,,,21-TSC-HQ
1AD-TRANS-STUB-CFW-GRP,900-POL-SUPPLYCO, ,1,,316-POL-SUPPLYBN
1AD-TRANS-STUB-CFW-GRP,AVNBDE-1-AD, ,,,1-AD
1AD-TRANS-STUB-CFW-GRP,AWR-2, ,1,1,21-TSC-HQ
1AD-TRANS-STUB-CFW-GRP,DISCOM-1-AD, ,1,1,1-AD
1AD-TRANS-STUB-CFW-GRP,DIVARTY-1-AD, ,,,1-AD
1AD-TRANS-STUB-CFW-GRP,DLAHQ, ,1,1,NCA
1AD-TRANS-STUB-CFW-GRP,FORSCOM, ,1,,NCA
1AD-TRANS-STUB-CFW-GRP,HNS, ,1,1,NCA
1AD-TRANS-STUB-CFW-GRP,JSRCMDSE, ,,,NATO
1AD-TRANS-STUB-CFW-GRP,NATO, ,,,NCA
1AD-TRANS-STUB-CFW-GRP,NCA, ,1,1,
1AD-TRANS-STUB-CFW-GRP,OSC, ,1,1,NCA
1AD-TRANS-STUB-CFW-GRP,RSA, ,,,21-TSC-HQ
1AD-TRANS-STUB-CFW-GRP,TRANSCOM, ,1,1,NCA
1AD-TRANS-STUB-CFW-GRP,USAEUR, ,1,1,USEUCOM
1AD-TRANS-STUB-CFW-GRP,USEUCOM, ,1,1,NCA
SMALL-1AD-TRANS-CFW-GRP,102-POL-SUPPLYCO, ,1,1,485-CSB
SMALL-1AD-TRANS-CFW-GRP,106-TCBN, ,1,1,16-CSG
SMALL-1AD-TRANS-CFW-GRP,110-POL-SUPPLYCO, ,1,1,6-TCBN
SMALL-1AD-TRANS-CFW-GRP,123-MSB, ,1,1,DISCOM-1-AD
SMALL-1AD-TRANS-CFW-GRP,125-ORDBN, ,1,,7-CSG
SMALL-1AD-TRANS-CFW-GRP,1-27-FABN, ,1,,41-FABDE
SMALL-1AD-TRANS-CFW-GRP,130-ENGBDE, ,1,,5-CORPS-REAR
SMALL-1AD-TRANS-CFW-GRP,1-35-ARBN, ,1,1,2-BDE-1-AD
SMALL-1AD-TRANS-CFW-GRP,16-CSG, ,1,1,3-SUPCOM-HQ
SMALL-1AD-TRANS-CFW-GRP,1-6-INFBN, ,1,1,2-BDE-1-AD
SMALL-1AD-TRANS-CFW-GRP,181-TCBN, ,1,,7-CSG
SMALL-1AD-TRANS-CFW-GRP,18-MAINTBN, ,1,1,16-CSG
SMALL-1AD-TRANS-CFW-GRP,18-PERISH-SUBPLT, ,1,,51-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,191-ORDBN, ,1,1,29-SPTGP
SMALL-1AD-TRANS-CFW-GRP,1-AD, ,1,1,5-CORPS
SMALL-1AD-TRANS-CFW-GRP,21-TSC-HQ, ,1,1,5-CORPS
SMALL-1AD-TRANS-CFW-GRP,227-SUPPLYCO, ,1,1,18-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,240-SSCO, ,1,,71-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,26-SSCO, ,1,,485-CSB
SMALL-1AD-TRANS-CFW-GRP,28-TCBN, ,1,1,37-TRANSGP
SMALL-1AD-TRANS-CFW-GRP,29-SPTGP, ,1,1,21-TSC-HQ
SMALL-1AD-TRANS-CFW-GRP,2-BDE-1-AD, ,1,1,1-AD
SMALL-1AD-TRANS-CFW-GRP,316-POL-SUPPLYBN, ,1,,7-CSG
SMALL-1AD-TRANS-CFW-GRP,343-SUPPLYCO, ,1,1,51-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,37-TRANSGP, ,1,1,21-TSC-HQ
SMALL-1AD-TRANS-CFW-GRP,3-SUPCOM-HQ, ,1,1,5-CORPS
SMALL-1AD-TRANS-CFW-GRP,41-FABDE, ,1,,5-CORPS-ARTY
SMALL-1AD-TRANS-CFW-GRP,47-FSB, ,1,1,2-BDE-1-AD
SMALL-1AD-TRANS-CFW-GRP,485-CSB, ,1,1,16-CSG
SMALL-1AD-TRANS-CFW-GRP,51-MAINTBN, ,1,1,29-SPTGP
SMALL-1AD-TRANS-CFW-GRP,52-ENGBN-CBTHVY, ,1,,130-ENGBDE
SMALL-1AD-TRANS-CFW-GRP,565-RPRPTCO, ,1,1,71-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,574-SSCO, ,1,,51-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,592-ORDCO, ,1,1,485-CSB
SMALL-1AD-TRANS-CFW-GRP,597-MAINTCO, ,1,,71-MAINTBN
SMALL-1AD-TRANS-CFW-GRP,5-CORPS, ,1,1,USAEUR
SMALL-1AD-TRANS-CFW-GRP,5-CORPS-ARTY, ,1,,5-CORPS
SMALL-1AD-TRANS-CFW-GRP,5-CORPS-REAR, ,1,,5-CORPS
SMALL-1AD-TRANS-CFW-GRP,6-TCBN, ,1,1,37-TRANSGP
SMALL-1AD-TRANS-CFW-GRP,71-MAINTBN, ,1,1,7-CSG
SMALL-1AD-TRANS-CFW-GRP,7-CSG, ,1,1,3-SUPCOM-HQ
SMALL-1AD-TRANS-CFW-GRP,900-POL-SUPPLYCO, ,1,,316-POL-SUPPLYBN
SMALL-1AD-TRANS-CFW-GRP,AWR-2, ,1,1,21-TSC-HQ
SMALL-1AD-TRANS-CFW-GRP,CONUSGround, ,1,1,GlobalSea
SMALL-1AD-TRANS-CFW-GRP,DISCOM-1-AD, ,1,1,1-AD
SMALL-1AD-TRANS-CFW-GRP,DLAHQ, ,1,1,NCA
SMALL-1AD-TRANS-CFW-GRP,FORSCOM, ,1,,NCA
SMALL-1AD-TRANS-CFW-GRP,GlobalAir, ,1,1,TRANSCOM
SMALL-1AD-TRANS-CFW-GRP,GlobalSea, ,1,1,TRANSCOM
SMALL-1AD-TRANS-CFW-GRP,HNS, ,1,1,NCA
SMALL-1AD-TRANS-CFW-GRP,NCA, ,1,1,
SMALL-1AD-TRANS-CFW-GRP,OSC, ,1,1,NCA
SMALL-1AD-TRANS-CFW-GRP,PlanePacker, ,1,1,GlobalAir
SMALL-1AD-TRANS-CFW-GRP,ShipPacker, ,1,1,GlobalSea
SMALL-1AD-TRANS-CFW-GRP,TheaterGround, ,1,1,GlobalSea
SMALL-1AD-TRANS-CFW-GRP,TRANSCOM, ,1,1,NCA
