COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
3-7-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3/17 Inf Bn (Mech), 
396-TCCO-PLS,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,396 TC Co PLS, 
39-FABTRY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,39 FA Btry TgtAcq, 
3-AVNBDE-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 3 Avn Bde, 
3-BDE-2ID-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 3rd Bde 2ID, 
3-BDE-3ID-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 3 Bde 3ID, 
3-DISCOM-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 3 DISCOM, 
3-FSB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3 Fwd Spt Bn (1x2), 
3ID-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 3ID, 
3-MPCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3 MP Co, 
406-TCDET-TPT,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,406 TC Det (Transfer PT), 
416-TKCO-POL,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,416 MDM Tk Co (POL), 
418-TKCO-POL,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,418 MDM Tk Co (POL), 
4-64-ARBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,4/64 Tnk Bn, 
512-QMCO-WTRSPLY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,512 QM Water Supply Co, 
5-20-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,5/20 Inf Bn, 
52-INF-CCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,C Co 52 Inf (Anti armor), 
553-CSB-HHD,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHD 553 Corps Spt Bn, 
571-MEDDET-AMBL,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,571 Med Det (Ambl)(UH-1), 
602-MAINTCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,602 Maint Co Non Div, 
603-DASB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,603 AVN Spt Bn, 
61-ASMEDBN-MEDCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Med Co 61 Area Spt Med Bn, 
632-MAINTCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,632 Maint Co Non Div, 
703-MSB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,703 Main Spt Bn, 
89-TKCO-CGO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,89 MDM Tk Co(CGO), 
92-ENGBN-CBTHVY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,92 Engineering BN - Combat Heavy, 
96-TCCO-HET,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,96 TC Co (Het), 
CENTCOM-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,US Central Command, 
DIVARTY-3ID-HHB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHB 3 ID DIVARTY, 
DLAHQ,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,DLA Headquarters, 
ENGBDE-3ID-HHD,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHD 3 ID ENGBDE, 
IOC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Industrial Operations Command, 
JTF-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Joint Task Force Headquarters, 
NCA,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,National Command Authority, 
TRANSCOM,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,US Transportation Command, 
GlobalSea,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Military Sealift Command, 
GlobalAir,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Air Mobility Command, 
ShipPacker,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Ship Packing Command, 
PlanePacker,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Aircraft Packing Command, 
CONUSGround,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,MTMC CONUS, 
TheaterGround,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Theater Traffic Management, 
1-BDE-NODE,node,,Node,1st BDE 3ID, 
2-BDE-NODE,node,,Node,2nd BDE 3ID, 
24-SPTGP-NODE,node,,Node,24th Support Group, 
3-BDE-NODE,node,,Node,3rd BDE 3ID, 
3ID-DIV-NODE,node,,Node,Division Units 3ID, 
AVNBDE-NODE,node,,Node,Aviation BDE 3ID, 
COMMAND-NODE,node,,Node,Higher Command Orgs, 
IBCT-NODE,node,,Node,Interim Brigade Combat Team, 
TRANSCOM-NODE,node,,Node,TRANSCOM Community, 
SMALL-135-TRANS-NODE,node,,Node,Small-135 with Stub TRANSCOM, 
mt_blanc.alpine.bbn.com,host,,,, 
everest.alpine.bbn.com,host,,,, 
fuji.alpine.bbn.com,host,,,, 
ranier.alpine.bbn.com,host,,,, 
sandwich.alpine.bbn.com,host,,,, 
washington.alpine.bbn.com,host,,,, 
hood.alpine.bbn.com,host,,,, 
matterhorn.alpine.bbn.com,host,,,, 
olympus.alpine.bbn.com,host,,,, 
u010e,host,,,, 
u012e,host,,,, 
u014e,host,,,, 
u016e,host,,,, 
u018e,host,,,, 
u020e,host,,,, 
u022e,host,,,, 
u024e,host,,,, 
u026e,host,,,, 
u028e,host,,,, 
u030e,host,,,, 
u032e,host,,,, 
u034e,host,,,, 
u036e,host,,,, 
u038e,host,,,, 
u040e,host,,,, 
u042a,host,,,, 
u044a,host,,,, 
u046p,host,,,, 
u048p,host,,,, 
u050p,host,,,, 
u052p,host,,,, 
u071e,host,,,, 
u073e,host,,,, 
u075e,host,,,, 
u077e,host,,,, 
u079e,host,,,, 
u081e,host,,,, 
u083e,host,,,, 
u085e,host,,,, 
u087e,host,,,, 
u089e,host,,,, 
u091e,host,,,, 
u093e,host,,,, 
u095e,host,,,, 
u101e,host,,,, 
u103e,host,,,, 
u105e,host,,,, 
u107e,host,,,, 
u109e,host,,,, 
u111e,host,,,, 
u113e,host,,,, 
u115e,host,,,, 
u117e,host,,,, 
u119e,host,,,, 
u121e,host,,,, 
u123e,host,,,, 
u125e,host,,,, 
u127e,host,,,, 
u129e,host,,,, 
u131e,host,,,, 
u135e,host,,,, 
u137e,host,,,, 
u139e,host,,,, 
u141e,host,,,, 
u143e,host,,,, 
u145e,host,,,, 
u147e,host,,,, 
u149e,host,,,, 
u150e,host,,,, 
u151e,host,,,, 
u153e,host,,,, 
u155e,host,,,, 
u157e,host,,,, 
u159e,host,,,, 
u161e,host,,,, 
u163e,host,,,, 
u165e,host,,,, 
u167e,host,,,, 
u169e,host,,,, 
u171e,host,,,, 
u173e,host,,,, 
u175e,host,,,, 
u177e,host,,,, 
u179e,host,,,, 
u181p,host,,,, 
u183p,host,,,, 
u185p,host,,,, 
u187p,host,,,, 
u189p,host,,,, 
u191p,host,,,, 
u193p,host,,,, 
u195p,host,,,, 
u061e,host,,,, 
u063e,host,,,, 
u065e,host,,,, 
u067e,host,,,, 
u069e,host,,,, 
u060e,host,,,, 
u062e,host,,,, 
u064e,host,,,, 
u066e,host,,,, 
u011e,host,,,, 
u013e,host,,,, 
u015e,host,,,, 
u017e,host,,,, 
u019e,host,,,, 
u021e,host,,,, 
u023e,host,,,, 
u025e,host,,,, 
u027e,host,,,, 
u029e,host,,,, 
u031e,host,,,, 
u033e,host,,,, 
u035e,host,,,, 
u037e,host,,,, 
u039e,host,,,, 
u041e,host,,,, 
u043e,host,,,, 
u045e,host,,,, 
u047e,host,,,, 
u049e,host,,,, 
u051p,host,,,, 
u053p,host,,,, 
u055p,host,,,, 
u057p,host,,,, 
u059p,host,,,, 
