TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,TI_SUTBLTY_ID,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,LEAD_NSN,FUEL_BURNER,BLANK
T48941,,TRUCK LIFT FRK DED RT,0,8601,,, 2000-01-12 00:00:00,JDL,,YES, 
T48944,,TRK F/LIFT R/T VAR REACH 6000 K,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T49096,,TRUCK LIFT FORK DED,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T49119,,TRUCK FRK RT 5T,0,8003,,, 2000-01-12 00:00:00,JDL,,YES, 
T49255,,TRUCK LIFT FORK DED,0,6054,,, 2000-01-12 00:00:00,JDL,,YES, 
T58161,,TRUCK TANK FUEL 8X8,17500,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T59048,,TRK TRACTOR HET,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T59278,,TRUCK CARGO 10 T 8X8,20000,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T60081,,TRK CARGO LMTV W/EQP,5000,,,, 2000-01-12 00:00:00,JDL,,YES, 
T60149,,TRK CARGO: LMTV W/EQUIP,5000,,,, 2000-01-12 00:00:00,JDL,,NO, 
T60353,,TRK TRAC HYD 5TH WHL,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T61103,,TRUCK TRACTOR 6X4,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T61171,,TRUCK TRACTOR 8X6,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T61239,,TRK TRACTOR: MTV W/EQUIP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
T61494,,TRK UTIL CRG/TRP CARR,2500,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T61562,,TRK UTIL CGO/TRP CARR,2500,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T61704,,TRK CARGO MTV W/EQP,10000,,,, 2000-01-12 00:00:00,JDL,,NO, 
T61772,,TRK CARGO MTV W/EQP,10000,,,, 2000-01-12 00:00:00,JDL,,YES, 
T61908,,TRK CGO MTV W/EQP,10000,,,, 2000-01-12 00:00:00,JDL,,YES, 
T63093,,TRUCK WRECKER 8X8,200,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T73645,,TRUCK FORK LIFT,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
T87243,,TRK TANK 2500 GAL,17500,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T91656,7K,TRUCK TRACTOR 6X6,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T92242,,TRK UTILITY 1-1/4 TON,2096,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T92310,,TRK UTILITY 1-1/4 TON,2096,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T93484,,TRK VAN LMTV W/EQP,5000,,,, 2000-01-12 00:00:00,JDL,,NO, 
T93761,,TRAILER PLS 16 1/2TON,33000,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
T94709,,TRK WRECKER MTV W/EQP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
T96838,,TRLR FLATBED 7-1/2 T,10000,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
T96883,,TRAILER FLATBED 5 TON,10000,,,, 2000-01-12 00:00:00,JDL,,NO, 
U12063,,SPREADER AGGR TWD 8FT,0,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
U76871,,SWEEPER ROTARY TOWED,0,8114,,, 2000-01-12 00:00:00,JDL,,YES, 
W35417,,WTR PRFCN EQ SET,0,8093,,, 2000-01-12 00:00:00,JDL,,NO, 
W47225,,WATER PURIF TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
W58486,,TOOL OUTFIT PIONEER,0,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
W76473,,TRACTOR FTRAC HS ARM,0,3078,,, 2000-01-12 00:00:00,JDL,,YES, 
W76816,7W,TRACTOR FTRAC LS DED,0,3078,,, 2000-01-12 00:00:00,JDL,,NO, 
W83529,7W,TRACTOR FTRAC LS DED,0,3078,,, 2000-01-12 00:00:00,JDL,,NO, 
W88699,,TRACTOR FTRAC LS DED,0,3079,,, 2000-01-12 00:00:00,JDL,,YES, 
W91074,,TRACTOR WHL IND (CCE),0,8066,,, 2000-01-12 00:00:00,JDL,,YES, 
