TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TID_VLDTN_CD,TYPE_PACK_CODE,TID_RDBL_CD,FTY_CD,TID_PRFNC_CD,TID_LG_DM,TID_WDTH_DIM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_VNTG_CD,TID_WHL_BS_DM,TID_TLSCPD_LG_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,TID_TRLR_TNG_LG_DM,TID_CRAF_RQMT_TX,BLANK
 01,S56246,B,A,1,D, 3805011531854,,,N,,,501,140,8,140,64950,5683,,0,L,,0,0,0,N,0,0,0,0,0,,0,,57,0093,621B,,, 
 01,S70027,B,R,2,D, 2330001226779,,,R,,,358,96,7,103,15760,2049,,103,B,,199,0,856,N,350,88,48,55,55,,0,,7,0025,M871,,, 
 01,S70159,B,R,1,D, 2330010398095,,,R,,,490,96,7,106,17390,2886,,106,J,,0,12,1253,N,485,93,48,58,58,,368,,7,0040,M872,,, 
 01,S70243,B,R,1,D, 2330002897515,,,R,,,597,98,7,121,16520,4097,,121,J,,357,0,1904,N,476,96,72,49,49,,406,,10,0027,M270A1,,, 
 01,S70517,D,R,2,D, 2330003176448,,,R,,,416,115,7,87,16285,2409,,87,B,,285,36,614,N,192,115,48,39,39,,0,,10,0039,M172A1 25TON,,, 
 01,S70594,B,R,1,D, 2330001331731,,,R,,,510,120,7,70,16918,2480,,70,J,,317,14,744,N,357,120,30,40,40,,388,,5,0057,M870,,, 
 01,S70859,B,R,1,D, 2330013038832,,,R,,,622,144,7,124,50400,6428,,126,K,,430,0,2323,N,403,120,83,43,43,,0,,30,0112,M1000,,, 
 01,S72983,D,R,1,D, 2330002266080,,,R,,,376,96,7,107,14250,2236,,0,B,,253,0,2276,N,0,0,0,0,0,,212,,8,0029,M131A5C,,, 
 01,S73372,D,R,2,D, 2330010505634,,,R,,,368,96,7,105,16060,2147,,0,B,,239,20,2146,N,0,0,0,0,0,,178,,9,0030,M969,,, 
 01,S74079,B,R,1,D, 2330007886296,,,R,,,354,99,7,146,15850,2961,,0,B,,199,10,1354,N,337,89,78,57,57,,164,,9,0023,M128A2C,,, 
 01,S74216,D,R,1,D, 2330006783838,,,R,,,325,99,7,133,8820,2477,,0,A,,188,0,1309,N,314,90,80,38,38,,259,,5,0012,M348A2 6 TON,,, 
 01,S74490,B,R,1,D, 2330007725273,,,R,,,327,96,7,134,15890,2435,12000,,B,,,,218,,,,,,,,,,,,M313,,, 
 01,S74832,B,R,1,D, 2330009267035,,,R,,,323,95,7,132,15380,2344,,0,B,,0,0,1141,N,267,90,82,42,42,,244,,9,0016,M750 6 TON,,, 
 01,S75038,D,R,1,D, 2330005699372,,,R,,,276,96,7,129,7180,1978,,0,A,,162,14,1045,N,264,90,76,56,56,,128,,4,0011,M146,,, 
 01,S75175,D,R,1,D, 2330005424654,,,R,,,345,96,7,140,16020,2684,,0,B,,0,0,1354,N,337,89,78,57,57,,248,,8,0023,M129,,, 
 01,T07543,B,R,1,D, 2320011467193,,,R,,,189,85,3,107,5269,995,,107,A,,99,16,125,N,0,0,0,0,0,,130,,3,0004,M1037,,, 
 01,T07679,C,R,2,D, 2320013469317,,,R,,,191,86,4,72,5600,685,,72,A,,88,16,104,N,88,52,39,33,33,,130,,3,0006,M1097,,, 
 01,T10138,D,R,2,D, 4940004950118,,,R,,,224,86,4,81,7325,903,,81,A,,117,0,75,N,0,0,0,0,0,,126,,4,0004,AVNC6217,,, 
 01,T10275,B,R,1,D, 4940002949517,,,R,,,327,97,7,129,17820,2368,,0,B,,201,0,0,N,0,0,0,0,0,,0,,10,0010,MILS52330,,, 
 01,T10549,D,R,1,D, 4940002874894,,,R,,,324,97,7,120,26380,2183,,0,C,,158,0,0,N,0,0,0,0,0,,0,,16,0016,MILS45538,,, 
