COMPONENT_ALIB_ID,COMPONENT_NAME,COMPONENT_LIB_ID,COMPONENT_TYPE,CLONE_SET_ID,BLANK
1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,0, 
1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
