CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,BLANK
3ID-CFW,ConstructionProvider,92-ENGBN-CBTHVY,3ID-HHC,1-Jan-00,, 
3ID-CFW,ConstructionSupplyProvider,DLAHQ,92-ENGBN-CBTHVY,1-Jan-00,, 
3ID-CFW,FuelSupplyProvider,DLAHQ,10-TCBN-HHC,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,DLAHQ,10-TCBN-HHC,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,203-FSB,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,26-FSB,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,296-SPTBN,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,3-FSB,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,602-MAINTCO,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,603-DASB,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,632-MAINTCO,1-Jan-00,, 
3ID-CFW,SparePartsProvider,DLAHQ,703-MSB,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,DLAHQ,10-TCBN-HHC,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,203-FSB,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,26-FSB,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,296-SPTBN,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,3-FSB,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,603-DASB,1-Jan-00,, 
3ID-CFW,AmmunitionProvider,IOC,703-MSB,1-Jan-00,, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,3ID-HHC,1-Jan-00,, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,IOC,1-Jan-00,, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,3ID-HHC,1-Jan-00,, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,IOC,1-Jan-00,, 
TRANSCOM-CFW,SeaTransportationProvider,GlobalSea,TRANSCOM,1-Jan-00,, 
TRANSCOM-CFW,AirTransportationProvider,GlobalAir,TRANSCOM,1-Jan-00,, 
TRANSCOM-CFW,ShipPackingTransportationProvider,ShipPacker,GlobalSea,1-Jan-00,, 
TRANSCOM-CFW,OrganicAirTransportationProvider,PlanePacker,GlobalAir,1-Jan-00,, 
TRANSCOM-CFW,CONUSGroundTransportationProvider,CONUSGround,GlobalSea,1-Jan-00,, 
TRANSCOM-CFW,CONUSGroundTransportationProvider,CONUSGround,GlobalAir,1-Jan-00,, 
TRANSCOM-CFW,TheaterStrategicTransportationProvider,TheaterGround,GlobalSea,1-Jan-00,, 
TRANSCOM-CFW,TheaterStrategicTransportationProvider,TheaterGround,GlobalAir,1-Jan-00,, 
