ROLE,SUPPORTING_ORG_ID,SUPPORTED_ORG_ID,START_DATE,END_DATE,BLANK
"StrategicTransportationProvider","5-CORPS-REAR","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"AmmunitionProvider","123-MSB","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","123-MSB","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","123-MSB","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"SparePartsProvider","123-MSB","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","123-MSB","25-FABTRY-TGTACQ","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","26-SSCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","263-FLDSVC-CO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","27-TCBN-MVTCTRL","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","28-TCBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","286-ADA-SCCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","29-SPTGP","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","3-13-FABN-155","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","3-13-FABN-155","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","3-13-FABN-155","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","3-13-FABN-155","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","3-13-FABN-155","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-ARTY","3-13-FABN-155","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"SparePartsProvider","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","3-BDE-1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","TRANSCOM","3-SUPCOM-HQ","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","30-MEDBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","30-MEDBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","30-MEDBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","30-MEDBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","30-MEDBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","30-MEDBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","316-POL-SUPPLYBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","317-MAINTCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","343-SUPPLYCO","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","28-TCBN","343-SUPPLYCO","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","DLAHQ","343-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","37-TRANSGP","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","372-CGO-TRANSCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","377-HVY-TRKCO","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-FSB","4-1-FABN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","125-FSB","4-1-FABN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","125-FSB","4-1-FABN","2005-01-01 00:00:00",\N,
"SparePartsProvider","125-FSB","4-1-FABN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","125-FSB","4-1-FABN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","4-1-FABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","4-27-FABN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","4-27-FABN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","4-27-FABN","2005-01-01 00:00:00",\N,
"SparePartsProvider","47-FSB","4-27-FABN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","4-27-FABN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","4-27-FABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","40-ENGBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","40-ENGBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","40-ENGBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","47-FSB","40-ENGBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","40-ENGBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","40-ENGBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","41-FABDE","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","41-FABDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","41-FABDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","41-FABDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","41-FABDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-ARTY","41-FABDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","41-POL-TRKCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","416-POL-TRKCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","452-ORDCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","47-FSB","2005-01-01 00:00:00",\N,
"AmmunitionProvider","123-MSB","47-FSB","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","123-MSB","47-FSB","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","123-MSB","47-FSB","2005-01-01 00:00:00",\N,
"SparePartsProvider","123-MSB","47-FSB","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","123-MSB","47-FSB","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","485-CSB","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","TRANSCOM","5-CORPS","2005-01-01 00:00:00",\N,
