ORG_ID,TI_ID,UNIT_IDENTIFIER,UNIT_EQUIPMENT_QTY
1-6-INFBN,C32887,WAPSAA,1
1-6-INFBN,T63093,WAPSAA,1
1-6-INFBN,T96883,WAPSAA,1
1-6-INFBN,L28351,WAPSAA,3
1-6-INFBN,C11158,WAPSAA,3
1-6-INFBN,X40794,WAPSAA,3
1-6-INFBN,W95537,WAPSAA,4
1-6-INFBN,K28601,WAPSAA,4
1-6-INFBN,T39518,WAPSAA,4
1-6-INFBN,X40146,WAPSAA,4
1-6-INFBN,M68405,WAPSAA,4
1-6-INFBN,D11538,WAPSAA,4
1-6-INFBN,C10990,WAPSAA,4
1-6-INFBN,T59278,WAPSAA,6
1-6-INFBN,R50681,WAPSAA,6
1-6-INFBN,T87243,WAPSAA,6
1-6-INFBN,W98825,WAPSAA,7
1-6-INFBN,Z62630,WAPSAA,10
1-6-INFBN,C18234,WAPSAA,14
1-6-INFBN,W95811,WAPSAA,21
1-6-INFBN,X40009,WAPSAA,28
1-6-INFBN,T61494,WAPSAA,28
1-6-INFBN,F40375,WAPSAA,44
1-94-FABN,C32887,WAF7AA,1
1-94-FABN,T38844,WAF7AA,1
1-94-FABN,G17460,WAF7AA,2
1-94-FABN,X40931,WAF7AA,2
1-94-FABN,T63093,WAF7AA,3
1-94-FABN,R50681,WAF7AA,4
1-94-FABN,L28351,WAF7AA,5
1-94-FABN,X40794,WAF7AA,5
1-94-FABN,T07679,WAF7AA,6
1-94-FABN,W95537,WAF7AA,6
1-94-FABN,T39654,WAF7AA,6
1-94-FABN,T58161,WAF7AA,7
1-94-FABN,W95811,WAF7AA,8
1-94-FABN,T61562,WAF7AA,8
1-94-FABN,X40146,WAF7AA,8
1-94-FABN,W98825,WAF7AA,10
1-94-FABN,D11538,WAF7AA,12
1-94-FABN,X40009,WAF7AA,14
1-94-FABN,L44894,WAF7AA,18
1-94-FABN,T39586,WAF7AA,30
1-94-FABN,T45465,WAF7AA,36
1-94-FABN,T61494,WAF7AA,44
1-AD,X63299,WAPBAA,1
1-AD,G35851,WAPBAA,1
1-AD,T96883,WAPBAA,1
1-AD,C32887,WAPBAA,1
1-AD,G40744,WAPBAA,1
1-AD,G53778,WAPBAA,1
1-AD,G42170,WAPBAA,1
1-AD,X40794,WAPBAA,1
1-AD,X40146,WAPBAA,1
1-AD,K28601,WAPBAA,2
1-AD,C11158,WAPBAA,2
1-AD,L28351,WAPBAA,3
1-AD,W98825,WAPBAA,3
1-AD,T07679,WAPBAA,3
1-AD,C18234,WAPBAA,3
1-AD,W95811,WAPBAA,5
1-AD,X62237,WAPBAA,6
1-AD,X40009,WAPBAA,9
1-AD,W95537,WAPBAA,18
1-AD,T61494,WAPBAA,42
1-BDE-1-AD,T63093,WAELAA,1
1-BDE-1-AD,D11538,WAELAA,1
1-BDE-1-AD,W98825,WAELAA,1
1-BDE-1-AD,X40146,WAELAA,1
1-BDE-1-AD,C32887,WAELAA,1
1-BDE-1-AD,C18234,WAELAA,1
1-BDE-1-AD,X40794,WAELAA,1
1-BDE-1-AD,K28601,WAELAA,1
1-BDE-1-AD,R50681,WAELAA,1
1-BDE-1-AD,L28351,WAELAA,1
1-BDE-1-AD,T87243,WAELAA,1
1-BDE-1-AD,G42238,WAELAA,1
1-BDE-1-AD,X40009,WAELAA,3
1-BDE-1-AD,W95811,WAELAA,3
1-BDE-1-AD,C11158,WAELAA,5
1-BDE-1-AD,W95537,WAELAA,5
1-BDE-1-AD,T61494,WAELAA,15
102-POL-SUPPLYCO,T60149,WELQAA,1
102-POL-SUPPLYCO,Z90712,WELQAA,1
102-POL-SUPPLYCO,L28351,WELQAA,1
102-POL-SUPPLYCO,T63093,WELQAA,1
102-POL-SUPPLYCO,T96883,WELQAA,1
102-POL-SUPPLYCO,Z94047,WELQAA,1
102-POL-SUPPLYCO,L85283,WELQAA,1
102-POL-SUPPLYCO,W98825,WELQAA,1
102-POL-SUPPLYCO,W76816,WELQAA,2
102-POL-SUPPLYCO,S70594,WELQAA,2
102-POL-SUPPLYCO,T61171,WELQAA,2
102-POL-SUPPLYCO,T60081,WELQAA,3
102-POL-SUPPLYCO,Z36272,WELQAA,3
102-POL-SUPPLYCO,F79334,WELQAA,6
102-POL-SUPPLYCO,X49051,WELQAA,6
102-POL-SUPPLYCO,S70027,WELQAA,6
102-POL-SUPPLYCO,T33786,WELQAA,6
102-POL-SUPPLYCO,P97119,WELQAA,6
102-POL-SUPPLYCO,E72804,WELQAA,6
102-POL-SUPPLYCO,Z36068,WELQAA,8
102-POL-SUPPLYCO,S73372,WELQAA,12
102-POL-SUPPLYCO,T61494,WELQAA,12
102-POL-SUPPLYCO,T61908,WELQAA,14
102-POL-SUPPLYCO,T61239,WELQAA,18
102-POL-SUPPLYCO,P97051,WELQAA,48
106-TCBN,W98825,WCKVAA,1
106-TCBN,G42170,WCKVAA,1
106-TCBN,T60081,WCKVAA,2
106-TCBN,W95537,WCKVAA,2
106-TCBN,T61494,WCKVAA,9
109-MDM-TRKCO,S73372,WH38AA,1
109-MDM-TRKCO,T63093,WH38AA,1
109-MDM-TRKCO,W95811,WH38AA,1
109-MDM-TRKCO,Z90381,WH38AA,1
109-MDM-TRKCO,W98825,WH38AA,1
109-MDM-TRKCO,C32887,WH38AA,1
109-MDM-TRKCO,X40146,WH38AA,1
109-MDM-TRKCO,L28351,WH38AA,1
109-MDM-TRKCO,X40009,WH38AA,2
109-MDM-TRKCO,T61494,WH38AA,5
109-MDM-TRKCO,T61103,WH38AA,61
109-MDM-TRKCO,S70159,WH38AA,120
11-AVN-RGT,X62237,WAAFAA,1
11-AVN-RGT,T07543,WAAFAA,1
11-AVN-RGT,J35492,WAAFAA,1
11-AVN-RGT,X40146,WAAFAA,1
11-AVN-RGT,X40794,WAAFAA,1
11-AVN-RGT,C32887,WAAFAA,1
11-AVN-RGT,J47617,WAAFAA,1
11-AVN-RGT,W95811,WAAFAA,2
11-AVN-RGT,T07679,WAAFAA,2
11-AVN-RGT,X40009,WAAFAA,3
11-AVN-RGT,W95537,WAAFAA,7
11-AVN-RGT,T61494,WAAFAA,17
110-POL-SUPPLYCO,T60149,WELKAA,1
110-POL-SUPPLYCO,Z90712,WELKAA,1
110-POL-SUPPLYCO,Z94047,WELKAA,1
110-POL-SUPPLYCO,L28351,WELKAA,1
110-POL-SUPPLYCO,L85283,WELKAA,1
110-POL-SUPPLYCO,T63093,WELKAA,1
110-POL-SUPPLYCO,T96883,WELKAA,1
110-POL-SUPPLYCO,W98825,WELKAA,1
110-POL-SUPPLYCO,W76816,WELKAA,2
110-POL-SUPPLYCO,S70594,WELKAA,2
110-POL-SUPPLYCO,T61171,WELKAA,2
110-POL-SUPPLYCO,T60081,WELKAA,3
110-POL-SUPPLYCO,Z36272,WELKAA,3
110-POL-SUPPLYCO,T49119,WELKAA,6
110-POL-SUPPLYCO,F79334,WELKAA,6
110-POL-SUPPLYCO,S70027,WELKAA,6
110-POL-SUPPLYCO,T33786,WELKAA,6
110-POL-SUPPLYCO,E72804,WELKAA,6
110-POL-SUPPLYCO,P97119,WELKAA,6
110-POL-SUPPLYCO,Z36068,WELKAA,8
110-POL-SUPPLYCO,S73372,WELKAA,12
110-POL-SUPPLYCO,T61494,WELKAA,12
110-POL-SUPPLYCO,T61908,WELKAA,14
110-POL-SUPPLYCO,T61239,WELKAA,18
110-POL-SUPPLYCO,P97051,WELKAA,48
12-AVNBDE,J47617,WCYPAA,1
12-AVNBDE,L28351,WCYPAA,1
12-AVNBDE,G42170,WCYPAA,1
12-AVNBDE,G53778,WCYPAA,1
12-AVNBDE,C32887,WCYPAA,1
12-AVNBDE,X62237,WCYPAA,1
12-AVNBDE,X40794,WCYPAA,1
12-AVNBDE,X40146,WCYPAA,1
12-AVNBDE,W98825,WCYPAA,2
12-AVNBDE,T07679,WCYPAA,3
12-AVNBDE,W95811,WCYPAA,3
12-AVNBDE,X40009,WCYPAA,4
12-AVNBDE,W95537,WCYPAA,9
12-AVNBDE,T61494,WCYPAA,20
123-MSB,T61772,WDJ0AA,1
123-MSB,T96838,WDJ0AA,1
123-MSB,L76556,WDJ0AA,1
123-MSB,X40283,WDJ0AA,1
123-MSB,K24931,WDJ0AA,1
123-MSB,Z90381,WDJ0AA,1
123-MSB,G40744,WDJ0AA,1
123-MSB,R50681,WDJ0AA,1
123-MSB,G35919,WDJ0AA,1
123-MSB,C36151,WDJ0AA,1
123-MSB,X40831,WDJ0AA,2
123-MSB,T30377,WDJ0AA,2
123-MSB,G42170,WDJ0AA,2
123-MSB,X40077,WDJ0AA,2
123-MSB,G78306,WDJ0AA,2
123-MSB,J36383,WDJ0AA,2
123-MSB,X41105,WDJ0AA,3
123-MSB,T10275,WDJ0AA,3
123-MSB,S70517,WDJ0AA,3
123-MSB,T63093,WDJ0AA,3
123-MSB,X62237,WDJ0AA,3
123-MSB,X62271,WDJ0AA,3
123-MSB,R11154,WDJ0AA,3
123-MSB,K28601,WDJ0AA,3
123-MSB,L28351,WDJ0AA,4
123-MSB,S75038,WDJ0AA,4
123-MSB,P97051,WDJ0AA,4
123-MSB,X62340,WDJ0AA,4
123-MSB,X63299,WDJ0AA,4
123-MSB,T49119,WDJ0AA,4
123-MSB,X40146,WDJ0AA,4
123-MSB,X59463,WDJ0AA,5
123-MSB,H01855,WDJ0AA,5
123-MSB,C32887,WDJ0AA,5
123-MSB,S30982,WDJ0AA,6
123-MSB,G35851,WDJ0AA,6
123-MSB,S74832,WDJ0AA,6
123-MSB,T96883,WDJ0AA,6
123-MSB,T49255,WDJ0AA,6
123-MSB,J35492,WDJ0AA,8
123-MSB,W98825,WDJ0AA,9
123-MSB,W35417,WDJ0AA,10
123-MSB,T38844,WDJ0AA,10
123-MSB,T07679,WDJ0AA,14
123-MSB,S75175,WDJ0AA,15
123-MSB,X40931,WDJ0AA,16
123-MSB,W95537,WDJ0AA,23
123-MSB,T59048,WDJ0AA,24
123-MSB,S70859,WDJ0AA,24
123-MSB,W95811,WDJ0AA,30
123-MSB,X40009,WDJ0AA,30
123-MSB,S73372,WDJ0AA,34
123-MSB,X40794,WDJ0AA,47
123-MSB,T61494,WDJ0AA,66
123-MSB,S70027,WDJ0AA,82
123-MSB,X59326,WDJ0AA,101
125-FSB,T49119,WJA0AA,1
125-FSB,T49255,WJA0AA,1
125-FSB,X41105,WJA0AA,1
125-FSB,C36151,WJA0AA,1
125-FSB,R50681,WJA0AA,1
125-FSB,R11154,WJA0AA,1
125-FSB,T30377,WJA0AA,1
125-FSB,X40283,WJA0AA,1
125-FSB,T10275,WJA0AA,1
125-FSB,S70517,WJA0AA,1
125-FSB,X59463,WJA0AA,1
125-FSB,X62237,WJA0AA,2
125-FSB,H01855,WJA0AA,2
125-FSB,X62271,WJA0AA,3
125-FSB,X48914,WJA0AA,3
125-FSB,T93761,WJA0AA,3
125-FSB,T48944,WJA0AA,3
125-FSB,T40999,WJA0AA,3
125-FSB,S74832,WJA0AA,3
125-FSB,L28351,WJA0AA,3
125-FSB,G35851,WJA0AA,4
125-FSB,X63299,WJA0AA,4
125-FSB,T07679,WJA0AA,4
125-FSB,X40146,WJA0AA,4
125-FSB,T96883,WJA0AA,4
125-FSB,T38844,WJA0AA,4
125-FSB,D11538,WJA0AA,4
125-FSB,E32466,WJA0AA,4
125-FSB,T63093,WJA0AA,6
125-FSB,W98825,WJA0AA,6
125-FSB,S70027,WJA0AA,6
125-FSB,S75175,WJA0AA,6
125-FSB,W95537,WJA0AA,7
125-FSB,G53778,WJA0AA,7
125-FSB,S30982,WJA0AA,8
125-FSB,S73372,WJA0AA,11
125-FSB,D12087,WJA0AA,11
125-FSB,X40794,WJA0AA,16
125-FSB,X62340,WJA0AA,17
125-FSB,X40009,WJA0AA,21
125-FSB,W95811,WJA0AA,24
125-FSB,X59326,WJA0AA,29
125-FSB,T61494,WJA0AA,37
125-ORDBN,T96883,WQ91AA,1
125-ORDBN,W95537,WQ91AA,1
125-ORDBN,X40931,WQ91AA,1
125-ORDBN,X40009,WQ91AA,2
125-ORDBN,W95811,WQ91AA,2
125-ORDBN,Z36272,WQ91AA,2
125-ORDBN,T61494,WQ91AA,12
127-DASB,C18234,WJEQAA,1
127-DASB,T30377,WJEQAA,1
