TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TYPE_PACK_CODE,TID_RDBL_CD,TID_LG_DM,TID_WDTH_DM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_WHL_BS_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,BLANK
1,S75038,D,R,1,D,2.33E+12,\N,R,276,96,7,129,7180,1978,\N,0,A,\N,162,14,1045,N,264,90,76,56,56,128,4,11,M146,
1,S75175,D,R,1,D,2.33E+12,\N,R,345,96,7,140,16020,2684,\N,0,B,\N,0,0,1354,N,337,89,78,57,57,248,8,23,M129,
1,T07543,B,R,1,D,2.32E+12,\N,R,189,85,3,107,5269,995,\N,107,A,\N,99,16,125,N,0,0,0,0,0,130,3,4,M1037,
1,T07679,C,R,2,D,2.32E+12,\N,R,191,86,4,72,5600,685,\N,72,A,\N,88,16,104,N,88,52,39,33,33,130,3,6,M1097,
1,T10138,D,R,2,D,4.94E+12,\N,R,224,86,4,81,7325,903,\N,81,A,\N,117,0,75,N,0,0,0,0,0,126,4,4,AVNC6217,
1,T10275,B,R,1,D,4.94E+12,\N,R,327,97,7,129,17820,2368,\N,0,B,\N,201,0,0,N,0,0,0,0,0,0,10,10,MILS52330,
1,T10549,D,R,1,D,4.94E+12,\N,R,324,97,7,120,26380,2183,\N,0,C,\N,158,0,0,N,0,0,0,0,0,0,16,16,MILS45538,
1,T13152,D,R,1,D,4.94E+12,\N,R,360,98,4,128,33260,2614,\N,128,C,\N,0,0,75,N,0,0,0,0,0,0,20,20,MILS45537,
1,T13168,B,A,0,D,2.35E+12,\N,N,387,144,D,217,123780,6999,\N,0,F,\N,193,17,30,N,0,0,0,0,0,180,0,0,M1A1 120MM,
1,T16988,B,R,2,D,3.22E+12,\N,R,172,85,7,99,5680,838,\N,0,A,\N,128,0,0,N,0,0,0,0,0,0,3,3,S/E WW BM,
