RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"FR13042","F",\N,\N,\N,\N,"RATIONS",0.000000000000000000000000000000,"TYMX","Randolph Afb","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13045","F",\N,\N,\N,\N,"GENERAL SUPPLY",0.000000000000000000000000000000,"JUBJ","Maxwell Afb, Gunt","LEXG","Hunter Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13047","F",\N,\N,\N,\N,"AIR AMMO",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","LEXG","Hunter Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13049","F",\N,\N,\N,\N,"PERSONAL DEMAND",0.000000000000000000000000000000,"TYMX","Randolph Afb","MBPB","Kelly Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13050","F",\N,\N,\N,\N,"GND SUPPORT MEI",0.000000000000000000000000000000,"MBPC","Kelly Afb","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13052","F",\N,\N,\N,\N,"ELECTRONIC MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","LEXG","Hunter Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13054","F",\N,\N,\N,\N,"TRAP",0.000000000000000000000000000000,"MUHJ","Langley Afb","MUHJ","Langley Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13056","F",\N,\N,\N,\N,"TAC VEH MEI",0.000000000000000000000000000000,"FTFA","Eglin Afb","LEXG","Hunter Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13058","F",\N,\N,\N,\N,"MISSLES MEI",0.000000000000000000000000000000,"DJDB","Chanute Afb","MUHJ","Langley Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13060","F",\N,\N,\N,\N,"WEAPONS MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","LEXG","Hunter Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13062","F",\N,\N,\N,\N,"SPEC WEAPON MEI",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13064","F",\N,\N,\N,\N,"ACFT ENGINE MEI",0.000000000000000000000000000000,"WWYJ","Tinker Afb","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13066","F",\N,\N,\N,\N,"MEDICAL MAT",0.000000000000000000000000000000,"VNVM","Sheppard Afb","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13067","F",\N,\N,\N,\N,"AIR REPAIR PART",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13069","F",\N,\N,\N,\N,"GND SUPT PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13071","F",\N,\N,\N,\N,"ADMIN VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13073","F",\N,\N,\N,\N,"ELECT PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","FJXT","Dover Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13075","F",\N,\N,\N,\N,"TAC VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13077","F",\N,\N,\N,\N,"MISSILE PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13079","F",\N,\N,\N,\N,"WEAPONS PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","UHGN","Robert Gray Aaf","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13081","F",\N,\N,\N,\N,"SPEC WEAPON PAR",0.000000000000000000000000000000,"HCTL","Ft Bragg","TMKH","Pope Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13083","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","FJXT","Dover Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13085","F",\N,\N,\N,\N,"ACFT ENG PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","FJXT","Dover Afb","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"FR13087","F",\N,\N,\N,\N,"MAIL",0.000000000000000000000000000000,"PNQS","Maxwell Afb","FTEP","Eglin Af Aux Nr 3","QEPQ","Thumrait","XTEZ","Van",\N,69.000000000000000000000000000000,70.000000000000000000000000000000,74.000000000000000000000000000000,75.000000000000000000000000000000
"AAW0C","A","WNAWAA","BN","0LG77","8TH INF BN 02 MECH","INF BN  MECH",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW1C","A","WAX8AA","HHC","3E666","HHC 4TH AVN BN  GS DIV AVN BD","HHC  DIV AVN BDE  IDL",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW3C","A","WCFBAA","CO","6FE66","534TH SC AREA SIG CO  MSE","AREA SIG CO  MSE",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW4C","A","WD21AA","BN","1FD77","44TH ADA BN HEAVY DIVISION","ADA BN HEAVY DIVISION",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW6C","A","WNA9AA","BN","NTUTT","704TH CS MAIN SUPPORT BN  HVY","MAIN SUPPORT BN  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW7C","A","WNBAAA","BN","NAU77","404TH CS DIV AVN SPT BN  HVY D","DIV AVN SPT BN  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAW9C","A","WEL3AA","BND","L4444","4TH DIVISION   ARMY BAND  DS","DIVISION   ARMY BAND  DS",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWAC","A","WNAPAA","BN","4YD77","588TH ENGR BN  HVY DIV","ENGR BN  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWBC","A","WA2UAA","BTY","1EUTT","20TH FA BTRY MLRS","FA BTRY MLRS",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWCC","A","WAC9AA","BN","16WVV","16TH FA BN 03 155 SP HVY DIV","FA BN 155 SP HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWDC","A","WAJ2AA","BN","4YD77","4TH ENGR BN  HVY DIV","ENGR BN  HVY DIV",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWEC","A","WAJ5AA","HHC","0LTTT","HHC 4TH INF DIV 03  MECH  BDE","HHC INF DIV  MECH  BDE",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWFC","A","WAKBAA","BN","0LG77","8TH INF BN  MECH","INF BN  MECH",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWGC","A","WAKPAA","BN","23J77","68TH TANK BATTALION  01 HVY DI","TANK BATTALION  HVY DIV",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWHC","A","WALWAA","BN","16WVV","42nd FA BN 04 155 SP HVY DIV","FA BN 155 SP HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWJC","A","WNAUAA","BN","0LG77","22ND INF RGT 01","INF BN  MECH",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWKC","A","WNA1AA","BN","23J77","66TH AR BN 03 TANK BATTALION","TANK BATTALION  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWLC","A","WNBBAA","HHC","2CUTT","HHC 4TH INF  DIV","HHC  HVY DIV  ARMOR",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWNC","A","WANKAA","BN","6CTNN","124TH SC BN 6 NODE DIV SIG BN","DIV SIG BN  MSE",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWPC","A","WNBCAA","HHC","2EUTT","HHC 1ST  BDE 4TH ID","HHC  HVY DIV BDE  ARMOR",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWQC","A","WANPAA","HHB","1QTTT","HHB DIV ARTY 4TH FA HVY DIV","HHB DIV ARTY HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWRC","A","WANQAA","HHC","NBTTT","4TH CS HHC 02 DISCOM","HHC MMC  SPT CMD  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWSC","A","WANUAA","BN","4YD77","299TH ENGR BN  HVY DIV","ENGR BN  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWTC","A","WANVAA","BN","0LG77","12TH INF BN 01 MECH","INF BN  MECH",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWUC","A","WANZAA","SQ","2NC77","10TH AR SQ DIV CAV SQDN","DIV CAV SQDN",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWVC","A","WNA2AA","BN","23J77","67TH ARM BN 01 TANK BATTALION","TANK BATTALION  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWWC","A","WNA1AA","BN","23J77","66TH AR BN 01 TANK BATTALION","TANK BATTALION  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWXC","A","WNBDAA","HHC","0LTTT","HHC 4TH INF DIV 02  MECH  BDE","HHC INF DIV  MECH  BDE",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAWZC","A","WNA4AA","BN","23J77","67TH ARM BN 03 TANK BATTALION","TANK BATTALION  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAX6C","A","WNA5AA","CO","Q3F77","4TH MP CO  COMBAT SUPPORT","MP CO  COMBAT SUPPORT",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXAC","A","WEPSAA","HHC","3E322","HHC 4TH  DIV AVN BDE","HHC  DIV AVN BDE  HVY",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXBC","A","WG0HAA","BN","P7T77","104TH MI BN  CEWI  HVY DIV","MI BN  CEWI  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXCC","A","WH26AA","BN","17WVV","29TH FA BN 03 155 SP HVY DIV","FA BN 155 SP HVY DIV",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXDC","A","WH6HAA","BN","3RF77","4TH AVN BN ATTACK HEL BN  AH 6","ATTACK HEL BN  AH 64",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXEC","A","WJAXAA","BN","NHTTT","64TH CS BN FWD SPT BN  1X2  HV","FWD SPT BN  1X2  HVY DIV",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXFC","A","WNA6AA","BN","NZH33","4TH CS BN FWD SPT BN  2X1  HVY","FWD SPT BN  2X1  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXGC","A","WNA7AA","BN","NZH33","204TH CS BN FWD SPT BN  2X1  H","FWD SPT BN  2X1  HVY DIV",0.000000000000000000000000000000,"HFTZ","Ft Hood","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"AAXJC","A","WAX6AA","TRP","2UCAM","9TH ARMD CAV TRP  HSB","ARMD CAV TRP ARMD CAV SQD",0.000000000000000000000000000000,"HDDL","Ft Carson","BBNV","Beaumont","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAAAC","A","WCJZAA","HHC","UAT77","37th TC GRP","HHC  TRANS COMPOSITE GROU",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAABC","A","WCNXAA","CO","UWUTT","66th TC CO","T MDM TRK CO 20 FT CNR CG",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAADC","A","WCNZAA","CO","UL444","68th TC CO","T MDM TRK CO 40 FT CNR CG",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAAEC","A","WH38AA","CO","U7BNN","109th TC CO","T MDM TRK CO 5000 GAL TAN",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAAGC","A",\N,"HHC","N42ZZ","21st THEATER SUPPORT COMMAND","HHC, THEATER SUPPORT COMD",0.000000000000000000000000000000,"LXPM","Kaiserslautern","TYFR","Ramstein Ab","FGQS","Diyarbakir","FGQS","Diyarbakir",66.000000000000000000000000000000,67.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAAGP","A",\N,"HHC","N42ZZ","21st THEATER SUPPORT COMMAND","HHC, THEATER SUPPORT COMD",428.000000000000000000000000000000,"LXPM","Kaiserslautern","TYFR","Ramstein Ab","FGQS","Diyarbakir","FGQS","Diyarbakir",66.000000000000000000000000000000,67.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD1C","A","WB38AA","CO","HH6NN","512th MAINT CO NON DIVISIONAL","(3C) MAINT CO NON DIVISIONAL D",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD3P","A","WCAYAA","HHC","Z99BB","29th  CS HHC  AREA SUPPORT G","HHC, AREA SUPPORT GP",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD4C","A","WDCQAA","CO","HH6NN","574th MAINT CO NON DIVISIONAL","(3C) MAINT CO NON DIVISIONAL D",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD5C","A","WB1XAA","CO","HH6NN","5th MAINT CO NON DIVISIONAL","(3C) MAINT CO NON DIVISIONAL D",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD6C","A","WFMVAA","HHD","J2JEE","191st ORD BN","HHD, ORD BN (AMMO) DS/GS",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD7C","A","WB3TAA","CO","JA4ZZ","23rd ORD CO","ORD CO,AMMO PLS/MOADS,CSA",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD8C","A","WB54Y1","TM","HV444","702nd EOD DET","EOD DETACHMENT",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAD9C","A","WB6CRD","TM","HV444","720th EOD DET","EOD DETACHMENT",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAE1C","A","WDNZAA","TM","JQ6NN","18th PERISH SUBST PLATOON","(2C) PERISH SUBST PLATOON",0.000000000000000000000000000000,"HCTL","Ft Bragg","UZXJ","Savannah","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAE8C","A","WB0HAA","HHC","HH644","51st OD BN DS GS MAINT","(2T) HHD ORD MNT BN DS GS",0.000000000000000000000000000000,"LXPM","Kaiserslautern","CHCY","Bremerhaven","QBAL","Mersin","SNNY","Osmaniye",57.000000000000000000000000000000,59.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
"SAR0C","A","WSS7AA","CO","JUUTT","343rd QM SUPPLY CO","(3C) QM SUPPLY CO",0.000000000000000000000000000000,"HKUZ","Ft Stewart","UZXJ","Savannah","QBAL","Mersin","SNNY","Osmaniye",52.000000000000000000000000000000,54.000000000000000000000000000000,68.000000000000000000000000000000,75.000000000000000000000000000000,75.000000000000000000000000000000
