RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"JAAAP","J",\N,"CEP","6JC81",\N,"EUCOM PLANNING ELEMENT",26.000000000000000000000000000000,"WKLB","Stuttgart","WKKX","Stuttgart","EYLD","Cumaovasi","LRMC","Izmir",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3SARC","F",\N,"ELE","HEAU6",\N,"ILM 01-06 AC130U",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SARP","F",\N,"ELE","HEAU6",\N,"ILM 01-06 AC130U",54.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SASC","F",\N,"ELE","HEDSD",\N,"ILM 1-8 MH 53J/M",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SASP","F",\N,"ELE","HEDSD",\N,"ILM 1-8 MH 53J/M",39.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SATC","F",\N,"ELE","HEDSD",\N,"ILM 1-8 MH 53J/M",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SATP","F",\N,"ELE","HEDSD",\N,"ILM 1-8 MH 53J/M",39.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SAWC","F",\N,"ELE","HEAU6",\N,"ILM 01-06 AC130U",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SAWP","F",\N,"ELE","HEAU6",\N,"ILM 01-06 AC130U",54.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFCC","F",\N,"SQ","3SAU4",\N,"SOF 04 AC130U",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFCP","F",\N,"SQ","3SAU4",\N,"SOF 04 AC130U",236.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFDC","F",\N,"SQ","3SAU6",\N,"SOF 06 AC130U",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFDP","F",\N,"SQ","3SAU6",\N,"SOF 06 AC130U",314.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFKC","F",\N,"ELE","3SS53",\N,"SOF 03 MH 53J/M",0.000000000000000000000000000000,"QFQE","Mildenhall","QFQE","Mildenhall","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFKP","F",\N,"ELE","3SS53",\N,"SOF 03 MH 53J/M",98.000000000000000000000000000000,"QFQE","Mildenhall","QFQE","Mildenhall","MUAF","Mus Air Base","MUAF","Mus Air Base",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFLC","F",\N,"ELE","3SS54",\N,"SOF 04 MH 53J/M",0.000000000000000000000000000000,"QFQE","Mildenhall","QFQE","Mildenhall","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFLP","F",\N,"ELE","3SS54",\N,"SOF 04 MH 53J/M",50.000000000000000000000000000000,"QFQE","Mildenhall","QFQE","Mildenhall","XTEZ","Van","XTEZ","Van",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFQC","F",\N,"AUG","HRR64",\N,"MNT 04 HH 60G CSAR MAINT AUG",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","LJYC","Incirlik Ab","LJYC","Incirlik Ab",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFQP","F",\N,"AUG","HRR64",\N,"MNT 04 HH 60G CSAR MAINT AUG",12.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","LJYC","Incirlik Ab","LJYC","Incirlik Ab",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFRC","F",\N,"AUG","HRR64",\N,"MNT 04 HH 60G CSAR MAINT AUG",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","LJYC","Incirlik Ab","LJYC","Incirlik Ab",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SFRP","F",\N,"AUG","HRR64",\N,"MNT 04 HH 60G CSAR MAINT AUG",12.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","LJYC","Incirlik Ab","LJYC","Incirlik Ab",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
"3SR3C","F",\N,"AUG","HRR64",\N,"MNT 04 HH 60G CSAR MAINT AUG",0.000000000000000000000000000000,"FTEV","Hurlburt Fld","FTEV","Hurlburt Fld","LJYC","Incirlik Ab","LJYC","Incirlik Ab",-13.000000000000000000000000000000,-12.000000000000000000000000000000,-11.000000000000000000000000000000,-7.000000000000000000000000000000,-7.000000000000000000000000000000
