TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,FUEL_BURNER,BLANK
T93484,\N,TRK VAN LMTV W/EQP,5000,\N,NO,
T93761,\N,TRAILER PLS 16 1/2TON,33000,8000,NO,
T94709,\N,TRK WRECKER MTV W/EQP,0,\N,NO,
T96838,\N,TRLR FLATBED 7-1/2 T,10000,8000,NO,
T96883,\N,TRAILER FLATBED 5 TON,10000,\N,NO,
U12063,\N,SPREADER AGGR TWD 8FT,0,6063,NO,
U76871,\N,SWEEPER ROTARY TOWED,0,8114,YES,
W35417,\N,WTR PRFCN EQ SET,0,8093,NO,
W47225,\N,WATER PURIF TLR MTD,0,\N,NO,
W58486,\N,TOOL OUTFIT PIONEER,0,6063,NO,
W76473,\N,TRACTOR FTRAC HS ARM,0,3078,YES,
W76816,7W,TRACTOR FTRAC LS DED,0,3078,NO,
W83529,7W,TRACTOR FTRAC LS DED,0,3078,NO,
W88699,\N,TRACTOR FTRAC LS DED,0,3079,YES,
W91074,\N,TRACTOR WHL IND (CCE),0,8066,YES,
W93995,\N,TRAILER ACFT MAINT,0,8068,NO,
W95537,\N,TRAILER CARGO 3/4 TON,1500,6063,NO,
W95811,\N,TRAILER CARGO 1-1/2 T,3000,6063,NO,
W98825,\N,TRAILER TANK WATER,3700,6063,NO,
X23227,\N,TRANSPORTER AIRMOBILE,5000,M988,NO,
X40009,\N,TRK CARGO 2-1/2-TON,5000,M988,YES,
X40077,\N,TRK CGO D/S 2-1/2-TON,5000,M988,YES,
X40146,\N,TRUCK CARGO 2-1/2-TON,5000,M988,YES,
X40283,\N,TRK CGO 2-1/2T XLWB,5000,M988,YES,
X40420,\N,TRK CGO 2-1/2T XLWB,5000,M988,YES,
X40794,\N,TRK CGO D/S 5 TON,10000,M988,YES,
X40831,\N,TRK CGO 5 TON LWB,10000,M988,YES,
X40931,\N,TRK CGO D/S 5 TON,10000,M988,YES,
X40968,\N,TRK CGO 5 TON LWB,10000,M988,YES,
X41105,\N,TRK CGO 5 TON XLWB,10000,M988,YES,
X43708,\N,TRUCK DUMP 5 TON,10000,M988,YES,
X44403,7W,TRUCK DUMP 20 TON DED,40000,8087,YES,
X48914,\N,TRK LIFT FRK RT 3 T,0,8003,YES,
X49051,\N,TRK LIFT FRK RT 5 T,0,8003,YES,
X57271,\N,TRUCK TANK FS 2-1/2 T,0,M988,YES,
X59326,\N,TRUCK TRACTOR 5 TON,0,M988,YES,
X59463,\N,TRUCK TRACTOR 5 TON,0,M988,YES,
X62237,\N,TRUCK VAN EXP 5-TON,10000,M988,YES,
X62271,\N,TRUCK VAN EXP 5-TON,10000,M988,YES,
X62340,\N,TRK VAN SHOP 2-1/2 TON,5000,M988,YES,
X62477,\N,TRK VAN SHOP 2-1/2 TON,5000,M988,YES,
X63299,\N,TRUCK WRECKER 5 TON,100,M988,YES,
Y48323,\N,WELDING SHOP TLR MTD,0,8050,NO,
Z12353,\N,SMALL EXTENSION NODE SWITCH,0,\N,NO,
Z13713,\N,PWR PLANT TRLR MTD,0,\N,NO,
Z24079,\N,SWITCHING GROUP,0,\N,NO,
Z36068,\N,TRAILER CARGO 2 1/2T,5000,\N,NO,
Z36272,\N,TLR CGO HIMOB 3/4-TON,2000,\N,NO,
Z43728,\N,MOB INTERGTED TAC TML,0,\N,NO,
Z62630,\N,TRUCK UTILITY EXP CAP,0,\N,NO,
Z71517,\N,OPERATIONS GROUP,0,\N,NO,
Z90381,\N,TOWING DEVICE,0,\N,NO,
Z90712,\N,TRLR CGO MTV W/DPSIDE,10000,8000,NO,
Z94047,\N,TRUCK TANK,0,8000,NO,
Z94560,\N,TRUCK VAN: EXPANSIBLE,0,8000,NO,
